rivers,Country1,Country2,Country3,Country4,Country5,Country6,Year,plastictonnes
Amazon (Brazil & Peru & Colombia & Ecuador),Brazil,Peru,Colombia,Ecuador,,,2015,38900
Brantas (Indonesia),Indonesia,,,,,,2015,38900
Cross (Nigeria & Cameroon),Nigeria,Cameroon,,,,,2015,40300
Dong (China),China,,,,,,2015,19100
Ganges (India & Bangladesh),India,Bangladesh,,,,,2015,115000
Hanjiang (China),China,,,,,,2015,12900
Huangpu (China),China,,,,,,2015,40800
Imo (Nigeria),Nigeria,,,,,,2015,21500
Irrawaddy (Myanmar),Myanmar,,,,,,2015,35300
Kwa Ibo (Nigeria),Nigeria,,,,,,2015,11900
Magdalena (Colombia),Colombia,,,,,,2015,16700
Mekong (Thailand & Cambodia & Laos & China & Myanmar & Vietnam),Thailand,Cambodia,Laos,China,Myanmar,Vietnam,2015,22800
Pasig (Philippines),Philippines,,,,,,2015,38800
Progo (Indonesia),Indonesia,,,,,,2015,12800
Serayu (Indonesia),Indonesia,,,,,,2015,17100
Solo (Indonesia),Indonesia,,,,,,2015,32500
Tamsui (Taiwan),Taiwan,,,,,,2015,14700
Xi (China),China,,,,,,2015,73900
Yangtze (China),China,,,,,,2015,333000
Zhujiang (China),China,,,,,,2015,13600
